Record_id,Date,Commodity,Grade,Region,Source_Type,Trader_Name,Deal_Type,Price,PrevDatePrice,RunningAvg,DeviationPct,Flag,Quantity_Tons,Currency,Remarks
REC0001,01-01-2024,PVC,Film,North,Trader,Trader_15,Spot,66.33,,66.33,0.00,OK,176,INR,Price correction
REC0366,01-01-2024,PET,Film,West,Distributor,Trader_1,Spot,138.65,,138.65,0.00,OK,707,INR,High demand
REC0731,01-01-2024,PET,Injection,East,Trader,Trader_37,Spot,144.76,,144.76,0.00,OK,450,INR,Stable market
REC1096,01-01-2024,HDPE,Blow Moulding,East,Trader,Trader_45,Contract,67.11,,67.11,0.00,OK,343,INR,Import pressure
REC1461,01-01-2024,HDPE,Film,West,Manufacturer,Trader_31,Spot,75.83,,75.83,0.00,OK,347,INR,Import pressure
REC1826,01-01-2024,PET,Blow Moulding,West,Trader,Trader_9,Spot,144.81,,144.81,0.00,OK,975,INR,Price correction
REC2191,01-01-2024,PVC,Bottle,East,Distributor,Trader_65,Contract,114.54,,114.54,0.00,OK,73,INR,High demand
REC2556,01-01-2024,LDPE,Blow Moulding,North,Manufacturer,Trader_69,Spot,90.69,,90.69,0.00,OK,233,INR,Price correction
REC2921,01-01-2024,PP,Injection,South,Distributor,Trader_43,Contract,108.4,,108.40,0.00,OK,644,INR,Price correction
REC0002,02-01-2024,PET,Bottle,West,Manufacturer,Trader_26,Contract,138.32,,138.32,0.00,OK,90,INR,Low supply
REC0367,02-01-2024,PVC,Injection,South,Trader,Trader_57,Contract,119.57,,119.57,0.00,OK,225,INR,Stable market
REC0732,02-01-2024,PET,Textile,North,Distributor,Trader_8,Spot,121.07,,121.07,0.00,OK,883,INR,High demand
REC1097,02-01-2024,PVC,Film,Central,Trader,Trader_27,Contract,65.79,,65.79,0.00,OK,942,INR,Price correction
REC1462,02-01-2024,PVC,Bottle,East,Distributor,Trader_42,Contract,98.03,114.54,106.29,-0.08,OK,65,INR,Stable market
REC1827,02-01-2024,PET,Textile,North,Manufacturer,Trader_61,Contract,141.64,,131.36,0.08,OK,102,INR,Price correction
REC2192,02-01-2024,PVC,Textile,Central,Distributor,Trader_50,Contract,139,,139.00,0.00,OK,650,INR,Import pressure
REC2557,02-01-2024,PET,Blow Moulding,South,Trader,Trader_62,Spot,69.43,,69.43,0.00,OK,156,INR,Stable market
REC2922,02-01-2024,PET,Blow Moulding,Central,Trader,Trader_58,Contract,104.04,,104.04,0.00,OK,907,INR,Import pressure
REC0003,03-01-2024,PP,Injection,South,Trader,Trader_1,Spot,148.13,108.4,128.27,0.15,REVIEW,562,INR,Price correction
REC0368,03-01-2024,PP,Textile,South,Manufacturer,Trader_5,Contract,131.09,,131.09,0.00,OK,14,INR,Low supply
REC0733,03-01-2024,PVC,Textile,North,Trader,Trader_57,Spot,83.23,,83.23,0.00,OK,140,INR,Low supply
REC1098,03-01-2024,LDPE,Blow Moulding,South,Distributor,Trader_12,Contract,75.48,,75.48,0.00,OK,516,INR,Low supply
REC1463,03-01-2024,PP,Injection,South,Manufacturer,Trader_12,Contract,137.47,108.4,131.33,0.05,OK,880,INR,Import pressure
REC1828,03-01-2024,HDPE,Film,West,Manufacturer,Trader_42,Contract,66.57,75.83,71.20,-0.07,OK,272,INR,Price correction
REC2193,03-01-2024,PET,Injection,East,Trader,Trader_7,Contract,97.31,144.76,121.04,-0.20,REVIEW,887,INR,Price correction
